ID,attitude,behave,public,gender,age
1,Lying is sometimes okay.,I sometimes lie.,Lying is sometimes okay.,Female,20
2,Lying is sometimes okay.,I rarely lie.,Lying is rarely okay.,Female,26
3,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,39
4,Lying is sometimes okay.,I rarely lie.,Lying is sometimes okay.,Male,34
5,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,21
6,Lying is often okay.,I sometimes lie.,Lying is sometimes okay.,Female,22
7,Lying is sometimes okay.,I sometimes lie.,Lying is sometimes okay.,Female,42
8,Lying is rarely okay.,I rarely lie.,Lying is never okay.,Female,19
9,Lying is rarely okay.,I sometimes lie.,Lying is rarely okay.,Female,18
10,Lying is never okay.,I rarely lie.,Lying is never okay.,Female,35
11,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,24
12,Lying is rarely okay.,I rarely lie.,Lying is never okay.,Male,31
13,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,27
14,Lying is sometimes okay.,I sometimes lie.,Lying is rarely okay.,Female,18
15,Lying is rarely okay.,I rarely lie.,Lying is never okay.,Female,24
16,Lying is sometimes okay.,I sometimes lie.,Lying is never okay.,Female,22
17,Lying is often okay.,I rarely lie.,Lying is sometimes okay.,Female,58
18,Lying is rarely okay.,I sometimes lie.,Lying is rarely okay.,Male,22
19,Lying is sometimes okay.,I rarely lie.,Lying is rarely okay.,Male,19
20,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Male,46
21,Lying is sometimes okay.,I sometimes lie.,Lying is rarely okay.,Female,26
22,Lying is rarely okay.,I sometimes lie.,Lying is rarely okay.,Female,19
23,Lying is sometimes okay.,I sometimes lie.,Lying is rarely okay.,Male,23
24,Lying is rarely okay.,I rarely lie.,Lying is never okay.,Female,20
25,Lying is sometimes okay.,I sometimes lie.,Lying is sometimes okay.,Female,29
26,Lying is sometimes okay.,I sometimes lie.,Lying is rarely okay.,Female,21
27,Lying is sometimes okay.,I sometimes lie.,Lying is sometimes okay.,Female,21
28,Lying is sometimes okay.,I sometimes lie.,Lying is rarely okay.,Female,21
29,Lying is rarely okay.,I rarely lie.,Lying is never okay.,Female,23
30,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,22
31,Lying is rarely okay.,I rarely lie.,Lying is never okay.,Female,21
32,Lying is sometimes okay.,I sometimes lie.,Lying is never okay.,Male,23
33,Lying is sometimes okay.,I sometimes lie.,Lying is sometimes okay.,Male,50
34,Lying is rarely okay.,I never lie.,Lying is rarely okay.,Female,19
35,Lying is sometimes okay.,I never lie.,Lying is rarely okay.,Female,19
36,Lying is sometimes okay.,I rarely lie.,Lying is sometimes okay.,Female,21
37,Lying is sometimes okay.,I sometimes lie.,Lying is rarely okay.,Female,20
38,Lying is sometimes okay.,I sometimes lie.,Lying is sometimes okay.,Female,30
39,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,30
40,Lying is sometimes okay.,I sometimes lie.,Lying is sometimes okay.,Female,20
41,Lying is sometimes okay.,I rarely lie.,Lying is sometimes okay.,Female,33
42,Lying is rarely okay.,I rarely lie.,Lying is never okay.,Female,36
43,Lying is never okay.,I never lie.,Lying is never okay.,Female,38
44,Lying is sometimes okay.,I sometimes lie.,Lying is sometimes okay.,Female,26
45,Lying is never okay.,I rarely lie.,Lying is never okay.,Female,33
46,Lying is sometimes okay.,I rarely lie.,Lying is rarely okay.,Female,44
47,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,57
48,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Male,34
49,Lying is sometimes okay.,I sometimes lie.,Lying is sometimes okay.,Female,55
50,Lying is sometimes okay.,I sometimes lie.,Lying is rarely okay.,Female,22
51,Lying is never okay.,I rarely lie.,Lying is never okay.,Female,73
52,Lying is sometimes okay.,I rarely lie.,Lying is sometimes okay.,Female,28
53,Lying is rarely okay.,I sometimes lie.,Lying is rarely okay.,Female,51
54,Lying is never okay.,I sometimes lie.,Lying is rarely okay.,Female,22
55,Lying is rarely okay.,I never lie.,Lying is rarely okay.,Female,41
56,Lying is sometimes okay.,I rarely lie.,Lying is rarely okay.,Male,50
57,Lying is sometimes okay.,I sometimes lie.,Lying is rarely okay.,Male,22
58,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,23
59,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,36
60,Lying is sometimes okay.,I sometimes lie.,Lying is rarely okay.,Female,22
61,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,41
62,Lying is rarely okay.,I never lie.,Lying is never okay.,Male,34
63,Lying is sometimes okay.,I sometimes lie.,Lying is sometimes okay.,Female,22
64,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,63
65,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Male,62
66,Lying is sometimes okay.,I sometimes lie.,Lying is rarely okay.,Female,21
67,Lying is sometimes okay.,I sometimes lie.,Lying is rarely okay.,Female,22
68,Lying is sometimes okay.,I rarely lie.,Lying is rarely okay.,Female,18
69,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,20
70,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,34
71,Lying is rarely okay.,I sometimes lie.,Lying is rarely okay.,Female,18
72,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,22
73,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,23
74,Lying is sometimes okay.,I sometimes lie.,Lying is sometimes okay.,Male,35
75,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,23
76,Lying is never okay.,I sometimes lie.,Lying is never okay.,Male,38
77,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,44
78,Lying is rarely okay.,I rarely lie.,Lying is never okay.,Female,27
79,Lying is sometimes okay.,I rarely lie.,Lying is rarely okay.,Female,21
80,Lying is sometimes okay.,I sometimes lie.,Lying is sometimes okay.,Female,43
81,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,24
82,Lying is sometimes okay.,I sometimes lie.,Lying is never okay.,Male,28
83,Lying is sometimes okay.,I rarely lie.,Lying is sometimes okay.,Female,18
84,Lying is sometimes okay.,I sometimes lie.,Lying is sometimes okay.,Female,19
85,Lying is sometimes okay.,I often lie.,Lying is sometimes okay.,Male,21
86,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,19
87,Lying is rarely okay.,I sometimes lie.,Lying is rarely okay.,Male,28
88,Lying is sometimes okay.,I rarely lie.,Lying is sometimes okay.,Prefer not to answer,28
89,Lying is never okay.,I never lie.,Lying is never okay.,Male,69
90,Lying is rarely okay.,I sometimes lie.,Lying is never okay.,Female,29
91,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,22
92,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Male,32
93,Lying is rarely okay.,I rarely lie.,Lying is never okay.,Female,25
94,Lying is sometimes okay.,I sometimes lie.,Lying is rarely okay.,Female,21
95,Lying is sometimes okay.,I rarely lie.,Lying is rarely okay.,Female,33
96,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,50
97,Lying is sometimes okay.,I rarely lie.,Lying is rarely okay.,Female,23
98,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,47
99,Lying is sometimes okay.,I rarely lie.,Lying is rarely okay.,Female,30
100,Lying is sometimes okay.,I rarely lie.,Lying is never okay.,Female,21
101,Lying is sometimes okay.,I rarely lie.,Lying is rarely okay.,Female,38
102,Lying is never okay.,I rarely lie.,Lying is never okay.,Female,44
103,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Male,20
104,Lying is sometimes okay.,I rarely lie.,Lying is rarely okay.,Female,21
105,Lying is rarely okay.,I rarely lie.,Lying is never okay.,Female,24
106,Lying is rarely okay.,I never lie.,Lying is never okay.,Female,43
107,Lying is rarely okay.,I sometimes lie.,Lying is rarely okay.,Female,20
108,Lying is sometimes okay.,I sometimes lie.,Lying is never okay.,Female,22
109,Lying is rarely okay.,I rarely lie.,Lying is never okay.,Female,44
110,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,32
111,Lying is sometimes okay.,I sometimes lie.,Lying is never okay.,Female,38
112,Lying is sometimes okay.,I sometimes lie.,Lying is never okay.,Female,47
113,Lying is sometimes okay.,I rarely lie.,Lying is sometimes okay.,Male,22
114,Lying is sometimes okay.,I sometimes lie.,Lying is rarely okay.,Female,22
115,Lying is rarely okay.,I rarely lie.,Lying is never okay.,Female,21
116,Lying is sometimes okay.,I sometimes lie.,Lying is sometimes okay.,Female,19
117,Lying is rarely okay.,I rarely lie.,Lying is never okay.,Female,19
118,Lying is sometimes okay.,I rarely lie.,Lying is sometimes okay.,Female,23
119,Lying is sometimes okay.,I sometimes lie.,Lying is sometimes okay.,Female,19
120,Lying is rarely okay.,I rarely lie.,Lying is never okay.,Female,19
121,Lying is rarely okay.,I sometimes lie.,Lying is rarely okay.,Female,21
122,Lying is never okay.,I rarely lie.,Lying is never okay.,Female,27
123,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,21
124,Lying is rarely okay.,I sometimes lie.,Lying is never okay.,Female,25
125,Lying is never okay.,I rarely lie.,Lying is rarely okay.,Male,26
126,Lying is sometimes okay.,I sometimes lie.,Lying is rarely okay.,Female,20
127,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,24
128,Lying is rarely okay.,I rarely lie.,Lying is never okay.,Male,39
129,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,36
130,Lying is rarely okay.,I rarely lie.,Lying is sometimes okay.,Female,21
131,Lying is rarely okay.,I sometimes lie.,Lying is rarely okay.,Female,23
132,Lying is rarely okay.,I sometimes lie.,Lying is rarely okay.,Male,62
133,Lying is never okay.,I rarely lie.,Lying is rarely okay.,Male,32
134,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,19
135,Lying is sometimes okay.,I sometimes lie.,Lying is rarely okay.,Female,22
136,Lying is rarely okay.,I rarely lie.,Lying is never okay.,Female,22
137,Lying is sometimes okay.,I sometimes lie.,Lying is rarely okay.,Female,27
138,Lying is sometimes okay.,I sometimes lie.,Lying is sometimes okay.,Female,20
139,Lying is rarely okay.,I rarely lie.,Lying is never okay.,Male,40
140,Lying is never okay.,I rarely lie.,Lying is never okay.,Male,25
141,Lying is sometimes okay.,I rarely lie.,Lying is never okay.,Female,22
142,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,21
143,Lying is sometimes okay.,I sometimes lie.,Lying is sometimes okay.,Male,24
144,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,19
145,Lying is rarely okay.,I never lie.,Lying is never okay.,Female,21
146,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,22
147,Lying is never okay.,I never lie.,Lying is never okay.,Female,28
148,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,21
149,Lying is often okay.,I sometimes lie.,Lying is sometimes okay.,Female,18
150,Lying is rarely okay.,I rarely lie.,Lying is rarely okay.,Female,34
151,Lying is never okay.,I never lie.,Lying is never okay.,Male,25
152,Lying is rarely okay.,I rarely lie.,Lying is never okay.,Male,21
153,Lying is rarely okay.,I sometimes lie.,Lying is never okay.,Male,23
154,Lying is never okay.,I rarely lie.,Lying is never okay.,Male,23