id,gender,age,group,stance,condition,comm_honest,honest_f,honest_e,honest_l,Honest_compositeGD,m1,m2,m3,M_compositeGD,agree
149,Male,39,sometimes-goodreason,Its sometimes okay to lie if you have a good reason,8,4,5,2,3,3.5,4,4,4,4,5
150,Male,41,never-harm,"Its never okay to lie, except if it prevents harm",4,6,1,5,2,3.5,5,6,6,5.666666667,6
151,Female,30,never,Its never okay to lie,1,7,6,7,6,6.5,7,7,7,7,7
152,Female,34,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,5,4,3,2,3.5,5,5,5,5,6
153,Male,43,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,5,5,1,2,3.25,5,5,5,5,5
154,Female,70,never,Its never okay to lie,1,6,7,6,7,6.5,7,7,7,7,5
155,Female,51,sometimes,its sometimes okay to lie,3,1,4,3,3,2.75,4,4,2,3.333333333,1
156,Female,27,sometimes-goodreason,Its sometimes okay to lie if you have a good reason,8,3,3,4,3,3.25,3,4,3,3.333333333,3
157,Male,50,never-harm,"Its never okay to lie, except if it prevents harm",4,6,6,5,5,5.5,6,5,6,5.666666667,5
158,Male,36,sometimes-goodreason,Its sometimes okay to lie if you have a good reason,8,6,6,2,6,5,6,6,6,6,5
159,Male,35,never-goodreason,"Its never okay to lie, except if you have a good reason",5,5,5,2,4,4,3,4,4,3.666666667,5
160,Male,43,never,Its never okay to lie,1,4,3,2,2,2.75,2,3,2,2.333333333,3
161,Female,43,never-exceptional,"Its never okay to lie, except in really exceptional circumstances",6,7,6,6,6,6.25,7,7,7,7,7
162,Male,28,control,,10,5,6,6,6,5.75,5,5,5,5,NA
163,Male,28,never-goodreason,"Its never okay to lie, except if you have a good reason",5,6,5,5,3,4.75,5,6,6,5.666666667,6
164,Female,61,sometimes-exceptional,"Its sometimes okay to lie, but only in really exceptional circumstances",9,6,6,6,6,6,6,6,6,6,6
165,Male,37,never-goodreason,"Its never okay to lie, except if you have a good reason",5,4,3,5,4,4,4,4,3,3.666666667,5
166,Female,42,never-harm,"Its never okay to lie, except if it prevents harm",4,7,7,7,7,7,7,7,7,7,7
167,Male,34,sometimes-exceptional,"Its sometimes okay to lie, but only in really exceptional circumstances",9,7,6,5,7,6.25,7,7,6,6.666666667,6
168,Male,32,sometimes-exceptional,"Its sometimes okay to lie, but only in really exceptional circumstances",9,2,4,3,2,2.75,2,1,2,1.666666667,2
169,Female,42,control,,10,6,6,5,5,5.5,6,6,5,5.666666667,NA
170,Male,30,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,3,5,6,4,4.5,7,7,7,7,6
171,Male,29,sometimes,its sometimes okay to lie,3,5,5,2,2,3.5,5,5,5,5,5
172,Male,34,sometimes-goodreason,Its sometimes okay to lie if you have a good reason,8,5,5,4,4,4.5,5,4,5,4.666666667,3
173,Female,41,rarely,Its rarely okay to lie,2,5,6,6,5,5.5,5,5,5,5,5
174,Female,31,never-exceptional,"Its never okay to lie, except in really exceptional circumstances",6,6,7,6,7,6.5,7,7,7,7,7
175,Female,29,sometimes-exceptional,"Its sometimes okay to lie, but only in really exceptional circumstances",9,6,6,5,6,5.75,5,5,6,5.333333333,4
176,Male,35,never-exceptional,"Its never okay to lie, except in really exceptional circumstances",6,7,6,6,6,6.25,6,6,5,5.666666667,6
177,Male,63,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,6,2,6,3,4.25,5,6,6,5.666666667,3
178,Female,30,control,,10,6,6,6,6,6,6,6,6,6,NA
179,Female,55,never,Its never okay to lie,1,6,6,6,6,6,6,6,6,6,6
180,Male,33,sometimes-goodreason,Its sometimes okay to lie if you have a good reason,8,4,5,5,4,4.5,4,3,4,3.666666667,5
181,Female,42,sometimes,its sometimes okay to lie,3,4,2,2,2,2.5,3,3,2,2.666666667,5
182,Female,40,control,,10,5,6,5,5,5.25,7,7,5,6.333333333,NA
183,Female,26,rarely,Its rarely okay to lie,2,6,6,5,5,5.5,5,5,6,5.333333333,6
184,Male,32,rarely,Its rarely okay to lie,2,1,3,6,2,3,6,6,6,6,6
185,Male,35,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,6,6,4,1,4.25,7,7,7,7,5
186,Male,41,never-exceptional,"Its never okay to lie, except in really exceptional circumstances",6,4,2,7,3,4,4,4,3,3.666666667,3
187,Female,29,sometimes-goodreason,Its sometimes okay to lie if you have a good reason,8,3,4,3,1,2.75,4,3,2,3,4
188,Male,32,never,Its never okay to lie,1,6,6,6,6,6,6,6,6,6,3
189,Female,21,control,,10,6,6,5,6,5.75,6,6,6,6,NA
190,Female,54,rarely,Its rarely okay to lie,2,6,6,5,4,5.25,4,4,3,3.666666667,4
191,Male,29,never-harm,"Its never okay to lie, except if it prevents harm",4,5,2,5,4,4,6,6,7,6.333333333,6
192,Male,84,rarely,Its rarely okay to lie,2,5,7,5,6,5.75,6,6,6,6,7
193,Male,45,sometimes-goodreason,Its sometimes okay to lie if you have a good reason,8,2,5,2,3,3,5,3,3,3.666666667,2
194,Female,46,never-goodreason,"Its never okay to lie, except if you have a good reason",5,3,3,3,1,2.5,3,3,3,3,1
195,Male,41,never,Its never okay to lie,1,6,6,6,3,5.25,6,5,6,5.666666667,6
196,Male,40,never-goodreason,"Its never okay to lie, except if you have a good reason",5,6,7,6,6,6.25,6,6,6,6,4
197,Female,28,sometimes,its sometimes okay to lie,3,2,4,2,4,3,2,2,2,2,3
198,Female,34,sometimes-goodreason,Its sometimes okay to lie if you have a good reason,8,5,6,3,5,4.75,5,5,5,5,5
199,Male,45,sometimes,its sometimes okay to lie,3,5,5,2,5,4.25,3,4,3,3.333333333,4
200,Male,37,never-harm,"Its never okay to lie, except if it prevents harm",4,6,6,4,5,5.25,6,6,6,6,3
201,Female,45,sometimes-exceptional,"Its sometimes okay to lie, but only in really exceptional circumstances",9,5,2,4,2,3.25,7,7,7,7,7
202,Male,32,rarely,Its rarely okay to lie,2,5,5,5,5,5,5,6,5,5.333333333,7
203,Male,29,never-harm,"Its never okay to lie, except if it prevents harm",4,7,7,7,7,7,7,7,7,7,7
204,Male,29,never-exceptional,"Its never okay to lie, except in really exceptional circumstances",6,3,6,3,3,3.75,3,3,3,3,1
205,Female,52,never-harm,"Its never okay to lie, except if it prevents harm",4,5,6,3,5,4.75,4,4,4,4,5
206,Male,36,never,Its never okay to lie,1,6,5,5,5,5.25,6,6,6,6,5
207,Female,35,rarely,Its rarely okay to lie,2,6,6,6,6,6,6,6,6,6,6
208,Male,38,never-goodreason,"Its never okay to lie, except if you have a good reason",5,4,5,4,5,4.5,5,5,5,5,5
209,Male,36,never-goodreason,"Its never okay to lie, except if you have a good reason",5,7,6,7,5,6.25,4,4,4,4,1
210,Male,44,sometimes,its sometimes okay to lie,3,4,5,4,2,3.75,5,5,5,5,2
211,Male,37,sometimes,its sometimes okay to lie,3,7,6,6,6,6.25,7,7,7,7,3
212,Male,46,never-exceptional,"Its never okay to lie, except in really exceptional circumstances",6,6,7,6,7,6.5,6,6,6,6,5
213,Male,43,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,7,6,6,5,6,7,7,7,7,7
214,Female,70,sometimes-goodreason,Its sometimes okay to lie if you have a good reason,8,2,4,3,3,3,3,3,3,3,1
215,Male,34,never,Its never okay to lie,1,7,6,6,6,6.25,7,7,7,7,5
216,Male,30,sometimes-exceptional,"Its sometimes okay to lie, but only in really exceptional circumstances",9,3,2,5,2,3,2,2,3,2.333333333,6
217,Male,40,never-exceptional,"Its never okay to lie, except in really exceptional circumstances",6,5,6,3,5,4.75,5,5,5,5,7
218,Male,39,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,5,5,6,3,4.75,6,6,6,6,6
219,Female,45,control,,10,5,6,6,5,5.5,6,7,6,6.333333333,NA
220,Female,47,never,Its never okay to lie,1,6,6,7,6,6.25,6,6,6,6,7
221,Male,44,rarely,Its rarely okay to lie,2,6,6,4,4,5,6,6,6,6,6
222,Female,47,never-harm,"Its never okay to lie, except if it prevents harm",4,5,5,3,3,4,5,5,5,5,4
223,Female,31,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,7,5,7,3,5.5,7,7,6,6.666666667,7
224,Male,28,control,,10,5,7,2,7,5.25,7,6,6,6.333333333,NA
225,Female,26,never-goodreason,"Its never okay to lie, except if you have a good reason",5,4,6,3,5,4.5,5,5,5,5,6
226,Male,39,sometimes-goodreason,Its sometimes okay to lie if you have a good reason,8,5,6,4,5,5,6,6,6,6,6
227,Male,26,sometimes-exceptional,"Its sometimes okay to lie, but only in really exceptional circumstances",9,6,1,2,3,3,7,7,6,6.666666667,5
228,Male,22,sometimes,its sometimes okay to lie,3,5,5,6,5,5.25,5,5,5,5,6
229,Female,36,control,,10,6,3,7,3,4.75,6,5,5,5.333333333,NA
230,Female,28,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,4,6,2,5,4.25,5,5,5,5,5
231,Female,41,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,6,6,6,4,5.5,6,7,6,6.333333333,7
232,Male,37,sometimes-goodreason,Its sometimes okay to lie if you have a good reason,8,5,6,2,5,4.5,4,4,5,4.333333333,2
233,Male,45,never-harm,"Its never okay to lie, except if it prevents harm",4,5,6,5,4,5,5,5,5,5,5
234,Male,25,never-exceptional,"Its never okay to lie, except in really exceptional circumstances",6,6,6,6,4,5.5,6,6,6,6,6
235,Female,35,control,,10,6,6,6,5,5.75,6,6,5,5.666666667,NA
236,Male,31,never,Its never okay to lie,1,7,2,2,7,4.5,7,7,7,7,7
237,Male,32,never-goodreason,"Its never okay to lie, except if you have a good reason",5,7,7,7,5,6.5,7,7,7,7,7
238,Male,35,rarely,Its rarely okay to lie,2,6,7,6,7,6.5,6,6,6,6,6
239,Male,29,never,Its never okay to lie,1,7,7,7,7,7,7,7,7,7,7
240,Male,67,sometimes-exceptional,"Its sometimes okay to lie, but only in really exceptional circumstances",9,5,3,6,4,4.5,5,4,5,4.666666667,6
241,Male,27,sometimes,its sometimes okay to lie,3,1,3,1,2,1.75,1,1,1,1,1
242,Female,37,sometimes-exceptional,"Its sometimes okay to lie, but only in really exceptional circumstances",9,6,5,3,5,4.75,5,5,6,5.333333333,5
243,Female,41,never-harm,"Its never okay to lie, except if it prevents harm",4,5,5,3,5,4.5,5,5,5,5,2
244,Female,28,never-goodreason,"Its never okay to lie, except if you have a good reason",5,6,5,6,2,4.75,6,6,6,6,7
245,Female,24,sometimes-goodreason,Its sometimes okay to lie if you have a good reason,8,3,5,5,4,4.25,3,3,3,3,6
246,Female,40,never-exceptional,"Its never okay to lie, except in really exceptional circumstances",6,6,1,6,2,3.75,6,7,7,6.666666667,6
247,Female,35,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,6,6,5,3,5,5,4,5,4.666666667,2
248,Male,30,never-exceptional,"Its never okay to lie, except in really exceptional circumstances",6,7,6,6,6,6.25,6,6,6,6,5
249,Female,41,control,,10,6,3,5,2,4,6,6,5,5.666666667,NA
250,Male,27,rarely,Its rarely okay to lie,2,5,6,3,5,4.75,6,6,5,5.666666667,3
251,Male,37,sometimes,its sometimes okay to lie,3,4,5,4,2,3.75,5,5,4,4.666666667,1
252,Male,49,rarely,Its rarely okay to lie,2,5,6,5,2,4.5,6,6,6,6,5
253,Male,31,control,,10,5,6,4,6,5.25,5,5,5,5,NA
254,Male,40,never-exceptional,"Its never okay to lie, except in really exceptional circumstances",6,6,6,7,6,6.25,6,6,6,6,5
255,Female,53,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,5,6,2,3,4,5,5,5,5,5
256,Female,44,never,Its never okay to lie,1,6,7,6,6,6.25,6,6,6,6,2
257,Female,34,never-harm,"Its never okay to lie, except if it prevents harm",4,6,6,6,5,5.75,7,7,6,6.666666667,7
258,Female,31,sometimes-exceptional,"Its sometimes okay to lie, but only in really exceptional circumstances",9,3,4,3,1,2.75,4,4,3,3.666666667,3
259,Male,36,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,2,4,2,2,2.5,3,3,3,3,3
260,Male,28,sometimes,its sometimes okay to lie,3,3,5,2,1,2.75,1,3,1,1.666666667,1
261,Female,35,never-harm,"Its never okay to lie, except if it prevents harm",4,6,6,6,6,6,7,7,6,6.666666667,5
262,Female,40,never-goodreason,"Its never okay to lie, except if you have a good reason",5,4,6,3,2,3.75,4,5,4,4.333333333,3
263,Female,43,rarely,Its rarely okay to lie,2,6,6,5,4,5.25,6,6,6,6,6
264,Female,48,never-goodreason,"Its never okay to lie, except if you have a good reason",5,6,6,4,6,5.5,6,6,6,6,6
265,Male,48,sometimes-goodreason,Its sometimes okay to lie if you have a good reason,8,4,4,4,4,4,3,3,3,3,2
266,Male,37,never-exceptional,"Its never okay to lie, except in really exceptional circumstances",6,6,6,5,5,5.5,5,5,6,5.333333333,6
267,Male,34,control,,10,6,6,6,6,6,5,5,5,5,NA
268,Female,34,never,Its never okay to lie,1,7,6,6,4,5.75,6,6,6,6,3
269,Male,28,sometimes-exceptional,"Its sometimes okay to lie, but only in really exceptional circumstances",9,4,5,4,2,3.75,5,5,4,4.666666667,5
270,Female,40,never-harm,"Its never okay to lie, except if it prevents harm",4,6,6,5,6,5.75,6,6,6,6,6
271,Male,29,never,Its never okay to lie,1,7,7,7,7,7,7,7,7,7,7
272,Female,37,sometimes,its sometimes okay to lie,3,2,4,2,3,2.75,2,2,2,2,3
273,Female,43,never-goodreason,"Its never okay to lie, except if you have a good reason",5,6,6,4,6,5.5,7,6,6,6.333333333,6
274,Female,29,never-exceptional,"Its never okay to lie, except in really exceptional circumstances",6,6,6,7,6,6.25,6,6,6,6,2
275,Male,29,sometimes-goodreason,Its sometimes okay to lie if you have a good reason,8,2,4,3,2,2.75,4,4,3,3.666666667,5
276,Male,39,sometimes-exceptional,"Its sometimes okay to lie, but only in really exceptional circumstances",9,4,4,5,4,4.25,4,4,4,4,4
277,Male,35,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,5,6,3,5,4.75,6,5,5,5.333333333,6
278,Prefer not to answer,45,sometimes-goodreason,Its sometimes okay to lie if you have a good reason,8,5,6,4,4,4.75,5,3,3,3.666666667,6
279,Male,29,control,,10,6,6,5,5,5.5,5,5,5,5,NA
280,Female,41,rarely,Its rarely okay to lie,2,6,7,6,6,6.25,6,6,6,6,6
281,Male,42,sometimes,its sometimes okay to lie,3,2,2,3,1,2,4,3,4,3.666666667,5
282,Female,36,sometimes,its sometimes okay to lie,3,7,5,3,3,4.5,5,6,4,5,5
283,Male,39,sometimes-exceptional,"Its sometimes okay to lie, but only in really exceptional circumstances",9,4,5,4,4,4.25,6,6,5,5.666666667,5
284,Male,68,rarely,Its rarely okay to lie,2,6,6,5,4,5.25,6,6,6,6,5
285,Female,29,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,5,5,4,2,4,5,5,4,4.666666667,5
286,Female,34,sometimes-goodreason,Its sometimes okay to lie if you have a good reason,8,3,5,3,4,3.75,4,4,4,4,4
287,Female,57,never-exceptional,"Its never okay to lie, except in really exceptional circumstances",6,6,6,6,6,6,6,6,6,6,7
288,Male,44,never-harm,"Its never okay to lie, except if it prevents harm",4,6,6,6,6,6,5,6,5,5.333333333,5
289,Female,46,control,,10,6,6,6,5,5.75,7,7,6,6.666666667,NA
290,Female,57,never-goodreason,"Its never okay to lie, except if you have a good reason",5,6,6,6,6,6,6,6,6,6,7
291,Male,26,never,Its never okay to lie,1,7,7,7,7,7,6,6,6,6,3
292,Female,43,never-harm,"Its never okay to lie, except if it prevents harm",4,6,6,6,6,6,6,6,6,6,6
293,Male,32,never-goodreason,"Its never okay to lie, except if you have a good reason",5,6,6,4,6,5.5,6,6,6,6,7
294,Male,36,sometimes-goodreason,Its sometimes okay to lie if you have a good reason,8,7,5,3,3,4.5,5,5,5,5,6
295,Male,28,sometimes,its sometimes okay to lie,3,7,5,5,4,5.25,7,6,7,6.666666667,6
296,Male,35,never-harm,"Its never okay to lie, except if it prevents harm",4,6,4,4,4,4.5,6,6,6,6,5