PID,LyingDV,Gender,Age
1,4,1,24
2,5,1,29
3,4,2,27
4,3,2,18
5,4,1,61
6,4,2,28
7,4,2,53
8,4,1,55
9,2,1,39
10,3,2,18
11,5,2,61
12,2,1,99
13,4,1,25
14,3,2,18
15,3,2,27
16,5,2,28
17,3,1,18
18,4,1,24
19,4,2,50
20,4,1,23
21,4,2,23
22,3,2,18
23,3,2,19
24,3,2,20
25,4,2,22
26,3,2,22
27,3,2,19
28,3,2,19
29,3,2,24
30,4,1,19
31,4,1,26
32,3,2,20
33,5,1,29
34,3,2,29
35,3,1,27
36,5,2,31
37,4,2,26
38,4,2,30
39,4,2,22
40,2,2,18
41,3,2,20
42,3,2,18
43,3,2,20
44,3,1,21
45,4,2,20
46,3,2,20
47,3,1,23
48,4,,
49,2,2,24
50,3,2,19
51,4,1,24
52,4,2,24
53,4,2,21
54,3,1,22
55,3,1,22
56,5,1,32
57,3,2,23
58,3,2,23
59,4,2,24
60,4,2,21
61,3,2,21
62,3,1,22
63,3,1,23
64,3,2,21
65,4,1,38
66,2,1,28
67,3,1,36
68,3,2,22
69,4,2,56
70,4,2,52
71,3,2,30
72,4,1,25
73,3,1,39
74,4,3,32
75,3,1,23
76,2,1,37
77,4,1,33
78,3,1,35
79,3,1,35
80,3,2,63
81,4,2,27
82,4,2,29
83,4,1,25
84,3,2,45
85,4,1,39
86,5,1,27
87,4,1,23
88,3,1,44
89,4,2,44
90,3,1,29
91,4,1,31
92,3,1,26
93,4,2,37
94,3,2,34
95,4,1,37
96,3,1,33
97,4,2,30
98,4,1,31
99,4,1,40
100,4,1,25
101,3,2,63
102,4,1,30
103,4,1,35
104,3,1,35
105,4,1,31
106,4,1,39
107,3,1,22
108,3,1,30
109,5,1,40
110,3,1,31
111,4,1,28
112,4,2,71
113,1,1,99
114,4,1,28
115,3,2,27
116,3,2,28
117,3,2,26
118,3,1,31
119,3,1,27
120,3,1,28
121,3,1,28
122,5,1,52
123,4,2,35
124,1,1,34
125,4,1,26
126,3,1,28
127,3,1,32
128,4,1,30
129,4,2,25
130,5,1,30